 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   1,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+01  5.03769E-16  4.01128E-16  4.68153E-16  0.00000E+00  1.0E-07
   2.00000E+01  2.22801E-16  1.37479E-16  1.88348E-16  0.00000E+00  1.0E-07
   3.00000E+01  1.36018E-16  7.01543E-17  1.05343E-16  0.00000E+00  1.0E-07
   4.00000E+01  9.59981E-17  4.30482E-17  6.86954E-17  0.00000E+00  1.0E-07
   5.00000E+01  7.34943E-17  2.93562E-17  4.89594E-17  0.00000E+00  1.0E-07
   6.00000E+01  5.92443E-17  2.14317E-17  3.69755E-17  0.00000E+00  1.1E-07
   7.00000E+01  4.94795E-17  1.64091E-17  2.90881E-17  0.00000E+00  1.0E-07
   8.00000E+01  4.24013E-17  1.30123E-17  2.35873E-17  0.00000E+00  1.9E-07
   9.00000E+01  3.70505E-17  1.06004E-17  1.95799E-17  0.00000E+00  1.5E-07
   1.00000E+02  3.28719E-17  8.82161E-18  1.65591E-17  0.00000E+00  2.2E-07
   1.20000E+02  2.67821E-17  6.41547E-18  1.23643E-17  0.00000E+00  2.1E-07
   1.40000E+02  2.25693E-17  4.89809E-18  9.63861E-18  0.00000E+00  3.2E-07
   1.60000E+02  1.94879E-17  3.87542E-18  7.75697E-18  0.00000E+00  4.2E-07
   1.80000E+02  1.71391E-17  3.15113E-18  6.39765E-18  0.00000E+00  5.0E-07
   2.00000E+02  1.52911E-17  2.61806E-18  5.38029E-18  0.00000E+00  5.5E-07
   2.50000E+02  1.20361E-17  1.76670E-18  3.71879E-18  0.00000E+00  8.6E-07
   3.00000E+02  9.91865E-18  1.28005E-18  2.74324E-18  0.00000E+00  1.0E-06
   3.50000E+02  8.43263E-18  9.74206E-19  2.11748E-18  0.00000E+00  1.1E-06
   4.00000E+02  7.33289E-18  7.68660E-19  1.69003E-18  0.00000E+00  1.5E-06
   4.50000E+02  6.48644E-18  6.23445E-19  1.38398E-18  0.00000E+00  1.7E-06
   5.00000E+02  5.81496E-18  5.16804E-19  1.15669E-18  0.00000E+00  1.9E-06
   6.00000E+02  4.81733E-18  3.73300E-19  8.46735E-19  0.00000E+00  2.1E-06
   7.00000E+02  4.11186E-18  2.83356E-19  6.49518E-19  0.00000E+00  2.5E-06
   8.00000E+02  3.58671E-18  2.23054E-19  5.15703E-19  0.00000E+00  3.5E-06
   9.00000E+02  3.18062E-18  1.80544E-19  4.20434E-19  0.00000E+00  3.4E-06
   1.00000E+03  2.85724E-18  1.49386E-19  3.50026E-19  0.00000E+00  4.0E-06
   1.20000E+03  2.37469E-18  1.07562E-19  2.54579E-19  0.00000E+00  6.8E-06
   1.40000E+03  2.03188E-18  8.14285E-20  1.94268E-19  0.00000E+00  7.8E-06
   1.60000E+03  1.77579E-18  6.39532E-20  1.53577E-19  0.00000E+00  4.1E-06
   1.80000E+03  1.57722E-18  5.16621E-20  1.24746E-19  0.00000E+00  5.8E-06
   2.00000E+03  1.41875E-18  4.26719E-20  1.03526E-19  0.00000E+00  7.4E-06
   2.50000E+03  1.13437E-18  2.84410E-20  6.96555E-20  0.00000E+00  7.4E-06
   3.00000E+03  9.45413E-19  2.04009E-20  5.03251E-20  0.00000E+00  1.2E-05
   3.50000E+03  8.10747E-19  1.53969E-20  3.82002E-20  0.00000E+00  2.0E-05
   4.00000E+03  7.09916E-19  1.20619E-20  3.00687E-20  0.00000E+00  2.3E-05
   4.50000E+03  6.31592E-19  9.72286E-21  2.43359E-20  0.00000E+00  2.4E-05
   5.00000E+03  5.68997E-19  8.01622E-21  2.01344E-20  0.00000E+00  2.4E-05
   6.00000E+03  4.75209E-19  5.73798E-21  1.44960E-20  0.00000E+00  3.3E-05
   7.00000E+03  4.08296E-19  4.32366E-21  1.09742E-20  0.00000E+00  3.9E-05
   8.00000E+03  3.58155E-19  3.38302E-21  8.62030E-21  0.00000E+00  4.1E-05
   9.00000E+03  3.19182E-19  2.72443E-21  6.96537E-21  0.00000E+00  5.8E-05
   1.00000E+04  2.88020E-19  2.24458E-21  5.75532E-21  0.00000E+00  1.7E-07
   1.20000E+04  2.41306E-19  1.60509E-21  4.13580E-21  0.00000E+00  1.5E-07
   1.40000E+04  2.07960E-19  1.20884E-21  3.12729E-21  0.00000E+00  1.6E-07
   1.60000E+04  1.82963E-19  9.45673E-22  2.45476E-21  0.00000E+00  1.6E-07
   1.80000E+04  1.63528E-19  7.61613E-22  1.98278E-21  0.00000E+00  1.5E-07
   2.00000E+04  1.47986E-19  6.27620E-22  1.63817E-21  0.00000E+00  1.3E-07
   2.50000E+04  1.19132E-19  4.11509E-22  1.07827E-21  0.00000E+00  3.1E-04
